planta,flora nome,flora status,plant nome,plant status,comparacao
Dicliptera ciliaris,Dicliptera ciliaris Juss.,nome aceito,Dicliptera ciliaris Juss.,nome aceito,igual
Dyschoriste maranhonis,Dyschoriste maranhonis (Nees) Kuntze,nome aceito,Dyschoriste maranhonis (Nees) Kuntze,nome aceito,igual
Hygrophila costata,Hygrophila costata Nees,nome aceito,Hygrophila costata Nees,nome aceito,igual
Hygrophila guianensis,Hygrophila guianensis Nees ex Benth.,nome aceito,Hygrophila guianensis Nees,sinonimo,diferente
Hygrophila helodes,none,none,Hygrophila helodes Nees,sinonimo,diferente
Justicia comata,Justicia comata (L.) Lam.,nome aceito,Justicia comata (L.) Lam.,nome aceito,igual
Justicia aequilabris,Justicia aequilabris (Nees) Lindau,nome aceito,Justicia aequilabris (Nees) Lindau,nome aceito,igual
Justicia laevilinguis,Justicia laevilinguis (Nees) Lindau,nome aceito,Justicia laevilinguis (Nees) Lindau,nome aceito,igual
Justia pectoralis,none,none,none,none,igual
Nelsonia brunelloides,Nelsonia brunelloides,sinonimo,Nelsonia brunelloides (Lam.) Kuntze,sinonimo,igual
Ruellia bahiensis,Ruellia bahiensis (Nees) Morong,nome aceito,Ruellia bahiensis (Nees) Morong,nome aceito,igual
Ruellia paniculata,Ruellia paniculata L.,nome aceito,Ruellia paniculata L.,nome aceito,igual
Sesuvium portulacastrum,Sesuvium portulacastrum (L.) L.,nome aceito,Sesuvium portulacastrum (L.) L.,nome aceito,igual
Echinodorus andrieuxii,Echinodorus andrieuxii,sinonimo,Echinodorus andrieuxii (Hook. & Arn.) Small,sinonimo,igual
Echinodorus argentinensis,Echinodorus argentinensis,sinonimo,Echinodorus argentinensis Rataj,sinonimo,igual
Echinodorus aschersonianus,Echinodorus aschersonianus Graebn.,nome aceito,Echinodorus aschersonianus Rataj,sinonimo,diferente
Echinodorus bolivianus,Echinodorus bolivianus,sinonimo,Echinodorus bolivianus (Rusby) Holm-Niels.,sinonimo,igual
Echinodorus cordifolius,none,none,Echinodorus cordifolius (L.) Griseb.,nome aceito,diferente
Echinodorus floribundus,Echinodorus floribundus (Seub.) Seub.,nome aceito,Echinodorus floribundus (Seub.) Seub.,nome aceito,igual
Echinodorus glandulosus,Echinodorus glandulosus Rataj,nome aceito,Echinodorus glandulosus Rataj,nome aceito,igual
Echinodorus grandiflorus,Echinodorus grandiflorus (Cham. & Schltr.) Micheli,nome aceito,Echinodorus grandiflorus (Cham. & Schltdl.) Micheli,nome aceito,igual
Echinodorus grisebachii,Echinodorus grisebachii Small,nome aceito,Echinodorus grisebachii Small,nome aceito,igual
Echinodorus lanceolatus,Echinodorus lanceolatus Rataj,nome aceito,Echinodorus lanceolatus Rataj,nome aceito,igual
Echinodorus longipetalus,Echinodorus longipetalus Micheli,nome aceito,Echinodorus longipetalus Micheli,nome aceito,igual
Echinodorus longiscapus,Echinodorus longiscapus Arechav.,nome aceito,Echinodorus longiscapus Arechav.,nome aceito,igual
Echinodorus macrophyllus,Echinodorus macrophyllus (Kunth) Micheli,nome aceito,Echinodorus macrophyllus (Griseb.) Micheli,sinonimo,diferente
Echinodorus palaefolius,Echinodorus palaefolius (Ness & Mart.) J.F. Macbr.,nome aceito,none,none,diferente
Echinodorus paniculatus,Echinodorus paniculatus Micheli,nome aceito,Echinodorus paniculatus Micheli,nome aceito,igual
Echinodorus pubescens,Echinodorus pubescens (Mart.) Seub. ex Warm.,nome aceito,Echinodorus pubescens (Mart. ex Schult.f.) Seub. ex Warm.,nome aceito,igual
Echinodorus ranunculoides,none,none,Echinodorus ranunculoides (L.) Engelm.,sinonimo,diferente
Echinodorus reticulatus,Echinodorus reticulatus R.R.Haynes & Holm-Niels.,nome aceito,Echinodorus reticulatus R.R.Haynes & Holm-Niels.,sinonimo,diferente
Echinodorus scaber,Echinodorus scaber Rataj,nome aceito,Echinodorus scaber Rataj,nome aceito,igual
