planta,nome,autor,fonte,estado,grupo taxonomico,familia,forma vida,substrato,origem,endemismo,ocorrenciasConfirmadas,ocorrenciasPossiveis,dominiosFitogeograficos,tipoVegetacao,sinonimos
Dicliptera ciliaris,Dicliptera ciliaris Juss.,Juss.,floradobrasil,nome correto,Angiospermas,Acanthaceae,Subarbusto,Terrícola,Nativa,não é endêmica do Brasil,"Alagoas,Bahia,Ceará,Paraíba,Pernambuco,Rio Grande do Norte",,Caatinga,,
Dyschoriste maranhonis,Dyschoriste maranhonis (Nees) Kuntze,(Nees) Kuntze,floradobrasil,nome correto,Angiospermas,Acanthaceae,Erva,Terrícola,Nativa,é endêmica do Brasil,"Goiás,Rio Grande do Sul,São Paulo",,"Mata Atlântica,Pampa",,"Dyschoriste pulegium,"
Hygrophila costata,Hygrophila costata Nees,Nees,floradobrasil,nome correto,Angiospermas,Acanthaceae,Erva,"Aquática,Terrícola",Nativa,não é endêmica do Brasil,"Acre,Bahia,Ceará,Goiás,Mato Grosso do Sul,Mato Grosso,Paraná,Rio Grande do Sul,Santa Catarina,Espírito Santo,Minas Gerais,Rio de Janeiro,São Paulo",,"Amazônia,Caatinga,Cerrado,Mata Atlântica","Floresta Ciliar ou Galeria,Floresta Ombrófila (= Floresta Pluvial)","Hygrophila brasilensis,"
Hygrophila guianensis,Hygrophila guianensis Nees ex Benth.,Nees ex Benth.,floradobrasil,nome correto,Angiospermas,Acanthaceae,Erva,Terrícola,Nativa,não é endêmica do Brasil,"Amapá,Rondônia,Bahia,Goiás,Mato Grosso do Sul,Paraná,Rio Grande do Sul,Santa Catarina,Espírito Santo,Minas Gerais,Rio de Janeiro,São Paulo",,"Amazônia,Caatinga,Cerrado,Mata Atlântica","Floresta Estacional Decidual,Floresta Ombrófila (= Floresta Pluvial)",
Hygrophila helodes,Hygrophila costata Nees,Nees,theplantlist,nome aceito,,,,,,,,,,,"Ecbolium lithospermifolium (Vahl) Kuntze,Hygrophila acutangula Nees ex Mart.,Hygrophila brasiliensis (Spreng.) Lindau,Hygrophila conferta Nees,Hygrophila guianensis Nees,Hygrophila helodes Nees,Hygrophila lacustris (Cham. & Schltdl.) Nees,Hygrophila pubescens Nees,Hygrophila rivularis (Schltdl.) Nees,Hygrophila verticillata (Spreng.) Herter,Justicia lithospermifolia Vahl,Justicia marrubiastrum Blanch. ex Nees,Pedicularis sessilis Vell.,Ruellia brasiliensis Spreng.,Ruellia filicifolia Salzm. ex Nees,Ruellia lacustris Cham. & Schltdl.,Ruellia rivularis Schltdl.,Ruellia verticillata Spreng.,Zahlbrucknera conferta Pohl ex Nees,Zahlbrucknera longifolia Pohl ex Nees,Zahlbrucknera micrantha Pohl ex Nees,Zahlbrucknera oblongifolia Pohl ex Nees,Ecbolium lithospermifolium (Vahl) Kuntze,Hygrophila acutangula Nees ex Mart.,Hygrophila brasiliensis (Spreng.) Lindau,Hygrophila conferta Nees,Hygrophila guianensis Nees,Hygrophila helodes Nees,Hygrophila lacustris (Cham. & Schltdl.) Nees,Hygrophila pubescens Nees,Hygrophila rivularis (Schltdl.) Nees,Hygrophila verticillata (Spreng.) Herter,Justicia lithospermifolia Vahl,Justicia marrubiastrum Blanch. ex Nees,Pedicularis sessilis Vell.,Ruellia brasiliensis Spreng.,Ruellia filicifolia Salzm. ex Nees,Ruellia lacustris Cham. & Schltdl.,Ruellia rivularis Schltdl.,Ruellia verticillata Spreng.,Zahlbrucknera conferta Pohl ex Nees,Zahlbrucknera longifolia Pohl ex Nees,Zahlbrucknera micrantha Pohl ex Nees,Zahlbrucknera oblongifolia Pohl ex Nees,Ecbolium lithospermifolium (Vahl) Kuntze,Hygrophila acutangula Nees ex Mart.,Hygrophila brasiliensis (Spreng.) Lindau,Hygrophila conferta Nees,Hygrophila guianensis Nees,Hygrophila helodes Nees,Hygrophila lacustris (Cham. & Schltdl.) Nees,Hygrophila pubescens Nees,Hygrophila rivularis (Schltdl.) Nees,Hygrophila verticillata (Spreng.) Herter,Justicia lithospermifolia Vahl,Justicia marrubiastrum Blanch. ex Nees,Pedicularis sessilis Vell.,Ruellia brasiliensis Spreng.,Ruellia filicifolia Salzm. ex Nees,Ruellia lacustris Cham. & Schltdl.,Ruellia rivularis Schltdl.,Ruellia verticillata Spreng.,Zahlbrucknera conferta Pohl ex Nees,Zahlbrucknera longifolia Pohl ex Nees,Zahlbrucknera micrantha Pohl ex Nees,Zahlbrucknera oblongifolia Pohl ex Nees,"
Justicia comata,Justicia comata (L.) Lam.,(L.) Lam.,floradobrasil,nome correto,Angiospermas,Acanthaceae,Erva,Terrícola,Nativa,não é endêmica do Brasil,"Acre,Amazonas,Amapá,Pará,Rondônia,Bahia,Rio Grande do Norte,Mato Grosso do Sul,Mato Grosso,Paraná,Rio Grande do Sul,Minas Gerais",,"Amazônia,Cerrado,Mata Atlântica",Floresta Ombrófila (= Floresta Pluvial),"Justicia acuminata,Thalestris graminiformis,"
Justicia aequilabris,Justicia aequilabris (Nees) Lindau,(Nees) Lindau,floradobrasil,nome correto,Angiospermas,Acanthaceae,"Arbusto,Subarbusto",Terrícola,Nativa,não é endêmica do Brasil,"Alagoas,Bahia,Ceará,Maranhão,Pernambuco,Mato Grosso do Sul,Minas Gerais",Acre,"Amazônia,Caatinga,Cerrado","Cerrado (lato sensu),Floresta Estacional Perenifólia,Floresta Ombrófila (= Floresta Pluvial)","Orthotactus aequilabris,Justicia glabribracteata,Justicia strobilacea,Orthotactus strobilaceus,"
Justicia laevilinguis,Justicia laevilinguis (Nees) Lindau,(Nees) Lindau,floradobrasil,nome correto,Angiospermas,Acanthaceae,Erva,Terrícola,Nativa,não é endêmica do Brasil,"Amazonas,Pará,Rondônia,Bahia,Ceará,Goiás,Mato Grosso do Sul,Mato Grosso,Paraná,Rio Grande do Sul,Santa Catarina,Minas Gerais,São Paulo",,"Amazônia,Mata Atlântica,Pantanal","Campo de Várzea,Floresta Ombrófila (= Floresta Pluvial)","Rhytiglossa laevelinguis,Dianthera paludosa,Justicia anagallis,Justicia obtusifolia,Justicia paludosa,Justicia repens,Rhytiglossa anagalis,Rhytiglossa obtusifolia,Rhytiglossa repens,"
Nelsonia brunelloides,Nelsonia canescens (Lam.) Spreng.,(Lam.) Spreng.,floradobrasil,nome correto,Angiospermas,Acanthaceae,Erva,Terrícola,Nativa,não é endêmica do Brasil,"Acre,Amazonas,Pará,Bahia,Maranhão,Goiás,Minas Gerais",,"Amazônia,Cerrado,Mata Atlântica","Floresta Ciliar ou Galeria,Floresta Estacional Decidual,Floresta Estacional Semidecidual,Floresta Ombrófila (= Floresta Pluvial)","Nelsonia brunelloides,Nelsonia campestris,Nelsonia pohlii,"
Ruellia bahiensis,Ruellia bahiensis (Nees) Morong,(Nees) Morong,floradobrasil,nome correto,Angiospermas,Acanthaceae,Subarbusto,Terrícola,Nativa,é endêmica do Brasil,"Alagoas,Bahia,Ceará,Pernambuco,Rio Grande do Norte,Espírito Santo",,Caatinga,Floresta Estacional Decidual,"Dipteracanthus bahiensis,"
