Dicliptera ciliaris
Dyschoriste maranhonis
Hygrophila costata
Hygrophila guianensis
Hygrophila helodes
Justicia comata
Justicia aequilabris
Justicia laevilinguis
Justia pectoralis
Nelsonia brunelloides
Ruellia bahiensis
Ruellia paniculata
Sesuvium portulacastrum
Echinodorus andrieuxii
Echinodorus argentinensis
Echinodorus aschersonianus
Echinodorus bolivianus
Echinodorus cordifolius
Echinodorus floribundus
Echinodorus glandulosus
Echinodorus grandiflorus
Echinodorus grisebachii
Echinodorus lanceolatus
Echinodorus longipetalus
Echinodorus longiscapus
Echinodorus macrophyllus
Echinodorus palaefolius
Echinodorus paniculatus
Echinodorus pubescens
Echinodorus ranunculoides
Echinodorus reticulatus
Echinodorus scaber
Echinodorus subalatus
Echinodorus tenellus
Echinodorus teretoscapus
Helanthium tenellum
Hydrocleys martii
Hydrocleys nymphoides
Hydrocleys parviflora
Limnocharis flava
Limnocharis laforestii
Sagittaria guayanensis
Sagittaria lancifolia
Sagittaria montevidensis
Sagittaria planitiana
Sagittaria rhombifolia
Sagittaria sprucei
Alstroemeria isabellana
Alternanthera aquatica
Alternanthera brasiliana
Alternanthera paronychioides
Alternanthera philoxeroides
Alternanthera pilosa
Alternanthera tenella
Amaranthus spinosus
Amaranthus viridis
Atriplex montevidensis
Atriplex undulata
Blutaparon portulacoides
Chamissoa altissima
Chenopodium ambrosioides
Gomphrena demissa
Gomphrena elegans
Hebanthe paniculata
Pfaffia glomerata
Pfaffia pulverulenta
Pfaffia iresinoides
Salicornia ambigua
Salicornia gaudichaudiana
Crinum americanum
Hyppeastrum angustifolium
Schinus terenbinthifolius
Centella asiatica
Eryngium ebracteatum
Eryngium eburneum
Eryngium ekmanii
Eryngium pandanifolium
Hydrocotyle ranunculoides
Hydrocotyle verticillata
Lilaeopsis attenuata
Lilaeopsis brasiliensis
Lilaeopsis carolinensis
Lilaeopsis tenuis
Allamanda cathartica
Allamanda nobilis
Ditassa hastata
Mandevilla clandestina
Mandevilla hirsuta
Mandevilla tenuifolia
Odontadenia nitida
Oxypetalum pachyglossum
Oxypetalum tubatum
Rhabdadenia biflora
Rhabdadenia madida
Rhabdanenia pohlii
Alocasia macrorrhiza
Colocasia esculenta
Dracontium longipes
Landoltia punctata
Lemna aequinoctialis
Lemna gibba
Lemna minuta
Lemna valdiviana
Montrichardia arborescens
Montrichiardia linifera
Philodendron brasiliense
Philodendron rudgeanum
Pistia stratioides
Spirodela intermedia
Urospatha sagittifolia
Wolffia arrhiza
Wolffia brasiliensis
Wolffia columbiana
Wolffiella lingulata
Wollffiella oblonga
Wolffiella welwitschii
Xanthosoma aristiguietae
Zantedeschia aethiopica
Hydrocotyle bonariensis
Hydrocotyle leucocephala
Hydrolotyle pussilla
Hydrocotyle ranunculoides
Hydrocotyle verticillata
Bactris maraja
Mauritia carana
Mauritiella armata
Aristolochia macroura
Roullinia montevidensis
Acanthospermum australe
Acanthospermum hispidum
Achyrocline alata
Acilepdopsis echitifolia
Acmella uliginosa
Adenostemma brasilianum
Ageratum conyzoides
Ambrosia artemisiaefolia
Aster squamatus
Baccharis microcephala
Baccharis penningtonii
Baccharis spicata
Baccharis usteri
Baccharidastrum triplinerve
Barrosoa betonicaeformis
Bidens laevis
Blainvillea dichotoma
Centratherum punctatum
Calea marginata
Campuloclinium purpurascens
Chaptalia graminifolia
Chrysolaena platensis
Clibadium amanii
Conyza bonariensis
Conyza sumatrensis
Cotula coronopifolia
Delilia biflora
Eclipta megapotamica
Eclipta prostrata
Egletes viscosa
Elephantopus mollis
Emilia coccinea
Emilia sonchifolia
Enydra anagallis
Enydra radicans
Enydra sessilis
Enydra virularis
Erechtites hieracifolia
Erechtites hieracifolius
Erechtites valerianifolius
Erigeron maximus
Eupatorium bupleurifolium
Eupatorium candolleanum
Eupatorium subhastatum
Eupatorium tremulum
Eupatorium tweedianum
Gamochaeta americana
Gnaphalium spicatum
Grazielia intermedia
Gymnocoronis spilanthoides
Jaegeria hirta
Jungia floribunda
Lepidaploa chalybaea
Lessingianthus glabratus
Mikania congesta
Mikania cordifolia
Mikania micrantha
Mikania periplocifolia
Pacourina edulis
Picrosia longifolia
Pluchea sagittalis
Praxelis sanctopaulensis
Pterocaulon balansae
Richterago radiata
Rolandra fruticosa
Senecio bonariensis
Senecio erisithalifolius
Senecio icoglossus
Senecio mattfeldianus
Senecio tweediei
Sonchus oleraceus
Sphagneticola trilobata
Synedrella nodiflora
Tilesia baccata
Trichospira verticillata
Vernonanthura beyrichii
Vernonanthura brasiliana
Vernonia scorpioides
Wedelia alagoensis
Wedelia calycina
Impatiens wallerana
Begonia cucullata
Begonia fischeri
Begonia hirtella
Begonia reniformis
Pleonotoma clematis
Tanaecium pyramidatum
Tynanthus polyanthus
Cordia curassavica
Cordia multispicata
Cordia superba
Cordia tetrandra
Euploca procumbens
Heliotropium angiospermum
Heliotropium elongatum
Heliotropium indicum
Heliotropium procumbens
Tournefortia bicolor
Cardamine bonariensis
Nasturtium officinale
Burmannia australis
Burmannia capitata
Burmannia flava
Cabomba aquatica
Cabomba caroliniana
Cabomba furcata
Cabomba haynesii
Centropogon cornutus
Lobelia anceps
Lobelia aquatica
Lobelia camporum
Lobelia exaltata
Lobelia fistulosa
Lobelia nummularioides
Lobelia xalapensis
Pratia hederacea
Siphocampylus sulfereus
Canna indica
Canna glauca
Canna xgeneralis
Aneilema umbrosum
Callisia filiformis
Commelina diffusa
Commelina erecta
Commelina nudiflora
Commelina obliqua
Commelina schomburgkiana
Dichorisandra hexandra
Floscopa glabrata
Tripogandra diuretica
Anisea cernua
Aniseia martinicensi
Cressa truxillensis
Evolvulus filipes
Evolvulus nummularius
Evolvulus pohlli
Ipomoea alba
Ipomoea aquatica
Ipomoea asaralifolia
Ipomoea asarifolia
Ipomoea batatas
Ipomoea cairica
Ipomoea carnea
Ipomoea cynanchifolia
Ipomoea fimbriosepala
Ipomoea fistulosa
Ipomoea indivisa
Ipomoea philomega
Ipomoea quamoclit
Ipomoea setifera
Ipomoea setosa
Ipomoea serpens
Ipomoea squamosa
Ipomoea subrevoluta
Ipomoea wrightii
Iseia luxurians
Jacquemontia heterantha
Merremia aegyptia
Merremia umbellata
Operculina hamiltonii
Tetralocularia pennellii
Costus arabicus
Costus spirales
Crassula peduncularis
Cyclanthera hystrix
Elaterium amazonicum
Fevillea trilobata
Gurania bignoniacea
Gurania tricuspidata
Luffa operculata
Momordica charantia
Halodule emarginata
Halodule wrightii
Abildgaardia ovata
Becquerelia cymosa
Becquerelia muricata
Bulbostylis capillaris
Bulbostylis hirtella
Bulbostylis junciformis
Bulbostylis juncoides
Bulbostylis sellowiana
Bulbostylis truncata
Calyptrocarya longifolia
Carex brasiliensis
Carex pseudocyperus
Cladium jamaicense
Cyperus aggregatus
Cyperus amabilis
Cyperus articulatus
Cyperus aristatus
Cyperus barrosianus
Cyperus berroi
Cyperus brevifolius
Cyperus cayennensis
Cyperus celluloso-reticulatus
Cyperus chalaranthus
Cyperus compressus
Cyperus cornelii-ostenii
Cyperus corymbosus
Cyperus cuspidatus
Cyperus diffusus
Cyperus digitatus
Cyperus distans
Cyperus eragrostis
Cyperus esculentus
Cyperus fistulosus
Cyperus gardneri
Cyperus giganteus
Cyperus haspan
Cyperus hermaphroditus
Cyperus imbricatus
Cyperus intricatus
Cyperus involucratus
Cyperus iria
Cyperus laetus
Cyperus lanceolatus
Cyperus laxus
Cyperus ligularis
Cyperus luzulae
Cyperus megapotamicus
Cyperus mundtii
Cyperus obtusatus
Cyperus odoratus
Cyperus papyrus
Cyperus polystachyus
Cyperus prolixus
Cyperus reflexus
Cyperus rigens
Cyperus rotundus
Cyperus sesquiflorus
Cyperus surinamensis
Cyperus uncinulatus
Cyperus virens
Dialium guianense
Diplacrum longifolium
Eleocharis acutangula
Eleocharis atropurpurea
Eleocharis barrosii
Eleocharis bonariensis
Eleocharis capillacea
Eleocharis debilis
Eleocharis elata
Eleocharis elegans
Eleocharis elongata
Eleocharis equisetoides
Eleocharis filiculmis
Eleocharis fistulosa
Eleocharis flavescens
Eleocharis geniculata
Eleocharis interstincta
Eleocharis maculosa
Eleocharis minarum
Eleocharis minima
Eleocharis montana
Eleocharis mutata
Eleocharis nana
Eleocharis nodulosa
Eleocharis nudipes
Eleocharis radicans
Eleocharis retroflexa
Eleocharis sellowiana
Eleocharis subarticulata
Eleocharis umbellata
Fimbristylis aestivalis
Fimbristylis autumnalis
Fimbristylis complanata
Fimbristylis cymosa
Fimbristylis dichotoma
Fimbristylis diphylla
Fimbristylis miliacea
Fimbristylis spadicea
Fimbristylis squarrosa
Fuirena incompleta
Fuirena robusta
Fuirena umbellata
Hyparrhenia rufa
Kyllinga odorata
Kyllinga pumila
Lipocarpha humboldtiana
Lipocarpha micrantha
Lipocarpha salzmanniana
Lipocarpha sellowiana
Oxycaryum cubense
Pycreus flavescens
Pycreus macrostachyos
Pycreus polystachyos
Rhynchospora barbata
Rhynchospora brittonii
Rhynchospora cephalotes
Rhynchospora contracta
Rhynchospora corymbosa
Rhynchospora cyperoides
Rhynchospora gigantea
Rhynchospora holoschoenoides
Rhynchospora marisculus
Rhynchospora nervosa
Rhynchospora pubera
Rhynchospora riparia
Rhynchospora schomburgkiana
Rhynchospora subplumosa
Rhynchospora tenerrima
Rhynchospora tenuis
Rhynchospora trispicata
Rhynchospora velutina
Schoenoplectus californicus
Scirpus americanus
Scirpus californicus
Scirpus cubensis
Scirpus giganteus
Scirpus maritimus
Scirpus submersus
Scleria bracteata
Scleria distans
Scleria hirtella
Scleria melaleuca
Scleria microcarpa
Scleria mitis
Scleria pterota
Scleria secans
Scleria soronia
Websteria confervoides
Dioscorea marginata
Drosera communis
Drosera intermedia
Elatine lindbergii
Equisetum giganteum
Equisetum hyemale
Agarista chlorantha
Gaylussacia brasiliensis
Eriocaulon angustifolium
Eriocaulon aquatile
Eriocaulon humboldtii
Eriocaulon magnificum
Eriocaulon modestum
Eriocaulon obtusum
Eriocaulon setaceum
Leiothrix pilulifera
Leiothrix rufula
Paepalanthus bifidus
Paepalanthus lamarckii
Paepalanthus planifolius
Paepalanthus tortilis
Syngonanthus anomalus
Syngonanthus caulescens
Syngonanthus chrysanthus
Syngonanthus glandulosus
Syngonanthus gracilis
Syngonanthus oblongus
Syngonanthus xeranthemoides
Tonina fluviatilis
Acalypha arvensis
Acalypha poiretii
Argythamnia heteropetala
Astraea lobata
Caperonia castaneifolia
Caperonia histrix
Caperonia palustris
Croton trinitatis
Dalechampia scandens
Dalechampia tiliifolia
Euphorbia hirta
Euphorbia hyssopifolia
Euphorbia prostrata
Euphorbia thymifolia
Sapium glandulatum
Sesbania schottiana
Tonina fluviatilis
Adesmia latifolia
Aeschynomene americana
Aeschynomene ciliata
Aeschynomene denticulata
Aeschynomene evenia
Aeschynomene filosa
Aeschynomene fluminensis
Aeschynomene indica
Aeschynomene mollicula
Aeschynomene montevidensis
Aeschynomene paniculata
Aeschynomene rudis
Aeschynomene scabra
Aeschynomene sensitiva
Aeschynomene virginica
Anadenanthera colubrina
Calopogonium mucunoides
Centrosema brasilianum
Centrosema pubescens
Chamaecrista calycioides
Chamaecrista diphylla
Chamaecrista hispidula
Chamaecrista nictitans
Chamaecrista repens
Clitoria falcata
Clitoria guianensis
Clitoria laurifolia
Collaea speciosa
Crotalaria brevifolia
Crotalaria micans
Crotalaria nitens
Crotalaria pallida
Crotalaria pilosa
Crotalaria sagittalis
Cymbosema roseum
Dalbergia ecastophyllum
Desmodium adscendens
Desmodium barbatum
Desmodium incanum
Desmodium tortuosum
Dioclea grandiflora
Dioclea guianensis
Discolobium leptophyllum
Discolobium psoraliaefolium
Discolobium pulchellum
Eriosema simplicifolium
Erythrina crista-galli
Indigofera hirsuta
Indigofera lespedezioides
Indigofera sabulicola
Inga affinis
Inga marginata
Inga sessilis
Inga uruguensis
Lonchocarpus sericeus
Macrolobium multijugum
Macroptilium gracile
Macroptilium lathyroides
Mimosa bimucronata
Mimosa debilis
Mimosa dormiens
Mimosa invisa
Mimosa pellita
Mimosa pigra
Mimosa pudica
Mimosa setosa
Neptunia oleracea
Neptunia plena
Neptunia prostrata
Rhynchosia minima
Senna corymbosa
Senna obtusifolia
Senna occidentalis
Senna reticulata
Senna uniflora
Sesbania exasperata
Sesbania punicea
Stylosanthes angustifolia
Stylosanthes gracilis
Stylosanthes guianensis
Stylosanthes scabra
Stylosanthes viscosa
Tephrosia purpurea
Teramnus volubilis
Vachellia farnesiana
Vigna juruana
Vigna lasiocarpa
Vigna longifolia
Vigna luteola
Zornia guanipensis
Zornia latifolia
Coutoubea ramosa
Coutoubea spicata
Curtia tenuifolia
Irlbachia alata
Irlbachia purpurascens
Schultesia benthamiana
Schultesia brachyptera
Schultesia gracilis
Schultesia guianensis
Schultesia optera
Drymonia coccinea
Sinningia elatior
Schiekia orinocensis
Laurembergia tetrandra
Myriophyllum aquaticum
Myriophyllum elatinoides
Proserpinaca palustris
Heliconia marginata
Heliconia psittacorum
Apalanthe granatensis
Egeria densa
Egeria najas
Elodea canadensis
Halophila decipiens
Hydrilla verticillata
Limnobium laevigatum
Najas argurta
Najas conferta
Najas guadalupensis
Najas marina
Najas microcarpa
