ID,FONTE,NOME,COLETADOR,LOCATION,PAIS,ESTADO,CIDADE,LATITUDE,LONGITUDE,ANO_COLETA,MES_COLETA,DIA_COLETA
410829,gbif,"Dicliptera ciliaris Juss.","Souza, E.B.","Taperuaba Unidade de Conservação Refúgio de Vida Silvestre Pedra da Andorinha (REVIS).",BR,Ceará,Sobral,-4.064167,-39.9975,2016,05,20
410830,gbif,"Dicliptera ciliaris Juss.","Sobczak, JCMSM","Fazenda Experimental Piroás, solo com muita serrapilheira.",BR,Ceará,Redenção,0.0,0.0,2015,09,03
410831,gbif,"Dicliptera ciliaris Juss.","Franck Rakotonasolo",NULL,MG,Toamasina,NULL,-18.83498,48.458738,2015,10,05
410832,gbif,"Dicliptera ciliaris Juss.","Loiola, M.I.B.","barragem Lima Brandão, em frente ao memorial D.C.Prado.",BR,Ceará,Granja,-3.0,-40.0,2014,07,19
410833,gbif,"Dicliptera ciliaris Juss.","Batista, W.","congl. 84-P36, sub. 1, árv. 2RN.&nf;Área montanhosa e com muitas pedras. Espécie muito ocorrente em clareira.",BR,Ceará,Guaiúba,-4.072514,-38.722486,2014,08,25
410834,gbif,"Dicliptera ciliaris Juss.","CORREIA, B. E. F.","Restinga da Praia de Itatinga",BR,Maranhão,Alcântara,-2.412944,-44.400472,2014,09,05
410835,gbif,"Dicliptera ciliaris Juss.","CORREIA, B. E. F.","Restinga da Praia de Itatinga",BR,Maranhão,Alcântara,-2.412944,-44.400472,2014,09,05
410836,gbif,"Dicliptera ciliaris Juss.","CORREIA, B. E. F.","Restinga da Praia de Itatinga",BR,Maranhão,Alcântara,-2.412944,-44.400472,2014,09,04
410837,gbif,"Dicliptera ciliaris Juss.","Gomes, R.C.","Bacia hidrográfica do riacho Carrapateiras - Tecel, Solo vertissolo; xisto / quartzito",BR,Ceará,Tauá,-5.403611,-40.064722,2013,08,17
410838,gbif,"Dicliptera ciliaris Juss.","Loiola, M.I.B.","distrito Rajada, margem direita da estrada(sentido",BR,Ceará,Itapipoca,-3.543611,-39.478056,2013,09,08
410839,gbif,"Dicliptera ciliaris Juss.","Salgado, E.V.","RPPN Elias Andrade",BR,Ceará,"General Sampaio",0.0,0.0,2011,06,16
410840,gbif,"Dicliptera ciliaris Juss.","Vaz da Silva, I.H.C.V.","Serra das Almas.",BR,Ceará,Crateús,0.0,0.0,2010,06,28
410841,gbif,"Dicliptera ciliaris Juss.","Chagas-Mota; A.I.L.Pinheiro","Serra do Ouro.",BR,Alagoas,Murici,0.0,0.0,2009,04,17
410842,gbif,"Dicliptera ciliaris Juss.","Chagas-Mota; A.I.L.Pinheiro","Serra do Ouro.",BR,Alagoas,Murici,0.0,0.0,2009,04,17
410843,gbif,"Dicliptera ciliaris Juss.",Chagas-Mota,"Ladeira do Lindóia.",BR,Alagoas,Satuba,0.0,0.0,2009,10,17
410844,gbif,"Dicliptera ciliaris Juss.",Chagas-Mota,"Serra do Macaco.",BR,Alagoas,"Santana do Ipanema",0.0,0.0,2008,07,23
410845,gbif,"Dicliptera ciliaris Juss.","Aragão, V.M.A.",NULL,BR,Ceará,Ubajara,-3.800556,-40.906389,2008,07,23
410846,gbif,"Dicliptera ciliaris Juss.","Lima-Verde, L.W.","Sítio Salva Vidas, Lixão, Sotavento.",BR,Ceará,Guaramiranga,-4.254444,-38.992083,2008,08,30
410847,gbif,"Dicliptera ciliaris Juss.","Coelho, M. .M.; Figueiredo, R.; Souza, D. .P.","Fazenda Experimental - UNIVASF, Área prioritária para a conservação da caatinga( área 33, muito alta importância biológica). Savana-estépica arborizada, solo predominantemente planossolo nátrico, vegetacão ciliar na margem do Riacho das Porteiras.",BR,Pernambuco,Petrolina,-9.330797,-40.548733,2008,09,10
410848,gbif,"Dicliptera ciliaris Juss.","M.M. Coelho","Fazenda Experimental UNIVASF - Parcela 01 - Riacho das Porteiras",BR,Pernambuco,Petrolina,-9.320597,-40.541153,2008,09,10
410849,gbif,"Justicia ciliata Jacq.","Laine, B.; Cortez, J.; Cortez, J.","Fazenda Tamanduá, áreas em regeneração.",BR,Paraíba,"Santa Teresinha",0.0,0.0,2009,03,01
410850,gbif,"Justicia ciliata Jacq.","Lemos, J.R.; Matias, P.; Matias, P.","Estação Ecológica de Aiuaba",BR,Ceará,Aiuaba,-6.600278,-40.321944,2004,08,09
410851,gbif,"Justicia ciliata Jacq.","Lima-Verde, L.W.; Paula-Zárate, E.L.; Bezerra-Loiola, M.I.; Gomes, O.M.; Paula-Zárate, E.L.; Bezerra-Loiola, M.I.; Gomes, O.M.","Chapada do Apodi, Fazenda Mato Alto.",BR,Ceará,Quixeré,-5.183333,-37.816667,1996,09,16
410852,gbif,"Justicia ciliata Jacq.","Rita Pereira; et al.; et al.","ca. 15km de Salgueiro em direção à Serrita.",BR,Pernambuco,Salgueiro,0.0,0.0,1992,06,09
