planta,coletador,local,pais,estado,cidade,latitude,longitude,data
Steinchisma laxum (Sw.) Zuloaga,Antônio Costa Allem,Retiro Chatelodo. Fazenda Alegria.,Brasil,MS,CORUMBA,-19.0091991424561,-57.6533012390137,
Steinchisma laxum (Sw.) Zuloaga,"Longhi-Wagner, HM- Cavalheiro, E",Ilha dos Marinheiros,Brasil,RS,Porto Alegre,-30.0331001281738,-51.2299995422363,05/2005
Steinchisma laxum (Sw.) Zuloaga,"Janssen, AS","Humaitá, Campo I, 500m ao Norte da BR 230, Km 2.",Brasil,Amazonas,Humaitá,-7.516667,-63.166667,06/2014
Steinchisma laxum (Sw.) Zuloaga,"Allem, A- Vieira, G","Fazenda Ipiranga. Em campo baixo, junto a capão de cerradão.",Brasil,Mato Grosso,Poconé,-16.2567005157471,-56.6227989196777,2013
Steinchisma laxum (Sw.) Zuloaga,Antônio Costa Allem,Fazenda Santo Estêvão.,Brasil,MS,CORUMBA,-19.0091991424561,-57.6533012390137,
Steinchisma laxum (Sw.) Zuloaga,"Burman, AG- Sendulsky, T","Serra de Jacuba, 3-5 km ao norte da cidade de Diamantina.",Brasil,Minas Gerais,Diamantina,-18.2493991851807,-43.6002998352051,2013
Steinchisma laxum (Sw.) Zuloaga,"Schinini, A",Ruta 127 y Ayo. Curuzú Cuatiá.,Argentina,Monte Caseros,Corrientes,,,06/2014
Steinchisma laxum (Sw.) Zuloaga,"William R. Anderson|M.T. Stieber|Joseph H. Kirkbride, Jr.","On sandy islands and at edge of river. South-eastern drainage of Pico de Itambé, about 5 km directly west and north of Santo Antonio de Itambé.",Brazil,Minas Gerais,,,,2003
Steinchisma laxum (Sw.) Zuloaga,Agnes Chase,"Steep winding cliff with Agacves etc. Dois Irmaos, Reblon, near Lagoa de Freitas.",Brazil,Rio de Janeiro,,,,2003
Steinchisma laxum (Sw.) Zuloaga,"Allem, A- et al.",Fazenda Santa Delfina,Brasil,MS,Corumbá,-19.0091991424561,-57.6533012390137,05/2005
Steinchisma laxum (Sw.) Zuloaga,"Silva, TS","6 km da Fazenda Bodoquena, no Rumo SE.",Brasil,Mato Grosso do Sul,Miranda,-20.2406005859375,-56.3782997131348,2013
Steinchisma laxum (Sw.) Zuloaga,"Rúgolo, Z- et al.",Camino de Palmas a Ubaldino Taques,Brasil,PR,,,,05/2005
Steinchisma laxum (Sw.) Zuloaga,"Noblick, L.R.- Santos, E",Arredores da UFS. Campus,Brasil,Sergipe,São Cristóvão,-10.924378,-37.101092,14/05/2015
Steinchisma laxum (Sw.) Zuloaga,"Howard S. Irwin|J.W. Grear, Jr.|R. Souza|R. Reis dos Santos","Campo, Fazenda Vargem Bonita, ca. 10 km. S. of Brasilia.",Brazil,Distrito Federal,,,,2003
