ID,FONTE,NOME,COLETADOR,LOCATION,PAIS,ESTADO,CIDADE,LATITUDE,LONGITUDE,ANO_COLETA,MES_COLETA,DIA_COLETA
1,specieslink,"Dicliptera ciliaris Juss.","M. C. Tschá- E. Freire- A. P. S. Gomes- A. Laurênio","Murici, Brejo dos Cavalos",Brasil,Pernambuco,Caruaru,-8.31,-36,1997,07,01
2,specieslink,"Dicliptera ciliaris Juss.","Linhares, K.M.E.","Grajaú, Serra das Almas",Brasil,Ceará,Crateús,-5.1783299446106,-40.6775016784668,,,
3,specieslink,"Dicliptera ciliaris Juss.","Vasconcelos, S.F.","RPPN Serra das Almas.",Brasil,Ceará,Crateús,-5.1783299446106,-40.6775016784668,2003,06,15
4,specieslink,"Dicliptera ciliaris Juss.","Vasconcelos, S.F.","RPPN Serra das Almas.",Brasil,Ceará,Crateús,-5.1783299446106,-40.6775016784668,2003,06,15
5,specieslink,"Dicliptera ciliaris Juss.",Chagas-Mota,"Serra do Macaco.",Brasil,Alagoas,"Santana do Ipanema",-9.37833023071289,-37.2453002929688,2008,07,23
6,specieslink,"Dicliptera ciliaris Juss.","H. S. Irwin","Rio Oiapoque. Lower and middle slopes of Mt. Tipac.",Brasil,AmapÃ¡,,3.6,-51.32,,,
7,specieslink,"Dicliptera ciliaris Juss.","Sobczak, JCMSM","Fazenda Experimental Piroás, solo com muita serrapilheira.",Brasil,Ceará,Redenção,-4.225830078125,-38.730598449707,2016,08,26
8,specieslink,"Dicliptera ciliaris Juss.","Bezerra, P.","Fazenda Mulungú, À margem de um riacho, sob uma oiticica.",Brasil,Ceará,Jaguaribe,-5.89056015014648,-38.621898651123,2011,08,09
9,specieslink,"Dicliptera ciliaris Juss.","Fernandes, A.","Sítio Lages, Serra da Meruoca.",Brasil,Piauí,,,,2011,08,09
10,specieslink,"Dicliptera ciliaris Juss.","Limaverde, S.O.","Grajaú, Sa. das Almas, banco de sementes, planossolo",Brasil,Ceará,Crateús,-5.1783299446106,-40.6775016784668,2007,03,22
11,specieslink,"Dicliptera ciliaris Juss.","Silva, M.A.P.","Boa Vista",Brasil,Ceará,Jardim,-7.58249998092651,-39.2980995178223,1998,03,31
12,specieslink,"Dicliptera ciliaris Juss.","Blanchet, J. S.",,Brazil,Bahia,,-12.1830556,-41.9972222,1993,01,01
13,specieslink,"Dicliptera ciliaris Juss.","Costa, R.C.","Fazenda Não Me Deixes",Brasil,Ceará,Quixadá,-4.97138977050781,-39.0153007507324,2001,06,
14,specieslink,"Dicliptera ciliaris Juss.","Vaz da Silva, I.H.C.V.","Serra das Almas.",Brasil,Ceará,Crateús,-5.1783299446106,-40.6775016784668,2010,10,04
15,specieslink,"Dicliptera ciliaris Juss.","Gomes, V.","Sítio Lagoa",Brasil,Ceará,Guaramiranga,-4.206028,-38.971167,2004,02,15
16,specieslink,"Dicliptera ciliaris Juss.","Dias Martins, C.T.V. de","Trilho 1- Comunidade Cipó - Levantamento Florístico.",Brasil,Bahia,Juazeiro,-9.41166973114014,-40.4986000061035,2010,10,27
17,specieslink,"Dicliptera ciliaris Juss.","CORREIA, B. E. F.","Restinga da Praia de Itatinga",Brasil,Maranhão,Alcântara,-2.412944,-44.400472,,,
18,specieslink,"Dicliptera ciliaris Juss.","CORREIA, B. E. F.","Restinga da Praia de Itatinga",Brasil,Maranhão,Alcântara,-2.412944,-44.400472,,,
19,specieslink,"Dicliptera ciliaris Juss.","Fernandes, A.",,Brasil,Ceará,Frecheirinha,-3.75999999046326,-40.8163986206055,1997,11,19
20,specieslink,"Dicliptera ciliaris Juss.","Salgado, E.V.","RPPN Elias Andrade",Brasil,Ceará,"General Sampaio",-4.05278015136719,-39.4543991088867,2011,06,30
21,specieslink,"Dicliptera ciliaris Juss.","I. Andrade","Brejo dos Cavalos",Brasil,Pernambuco,Bonito,-8.47027969360352,-35.7285995483398,2003,07,28
22,specieslink,"Dicliptera ciliaris Juss.","M. F. Sales","Inajá, Reserva Biológica de Serra Negra",Brasil,Pernambuco,Floresta,-8.60111045837402,-38.5685997009277,1997,,
23,specieslink,"Dicliptera ciliaris Juss.","Silva, M.A.P.","Fazenda Crioula",Brasil,Ceará,Sobral,-3.68611001968384,-40.3497009277344,1997,11,19
24,specieslink,"Dicliptera ciliaris Juss.","CORREIA, B. E. F.","Restinga da Praia de Itatinga",Brasil,Maranhão,Alcântara,-2.412944,-44.400472,,,
25,specieslink,"Dicliptera ciliaris Juss.","Lima-Verde, L.W.","Chapada do Apodi, Fazenda Mato Alto.",Brasil,Ceará,Quixeré,-5.183333,-37.816667,1997,01,15
26,specieslink,"Dicliptera ciliaris Juss.","Blanchet, J. S.",,Brazil,Bahia,,-12.1830556,-41.9972222,1993,01,01
27,specieslink,"Dicliptera ciliaris Willd. ex Nees","Lima-Verde, L.W.- Paula-Zárate, E.L.- Bezerra-Loiola, M.I.- Gomes, O.M.- Paula-Zárate, E.L.- Bezerra-Loiola, M.I.- Gomes, O.M.","Chapada do Apodi, Fazenda Mato Alto.",Brasil,Ceará,Quixeré,-5.183333,-37.816667,,,
28,specieslink,"Dicliptera ciliaris Juss.","Lima-Verde, L.W.","Flona do Araripe.",Brasil,Ceará,Crato,-7.23416996002197,-39.4094009399414,2000,05,
29,specieslink,"Dicliptera ciliaris Juss.","A. Laurênio","Engenho Pombal, Casa dos Carneiros",Brasil,Pernambuco,"Vitória de Santo Antão",-8.11806011199951,-35.2914009094238,2003,07,28
30,specieslink,"Dicliptera ciliaris Juss.","Monteiro, H","Brejo dos Cavalos, À margem de um caminho - fazenda.",Brasil,Pernambuco,Caruaru,-8.28332996368408,-35.9761009216309,2006,05,30
